Drug	Group1	mean1	median1	Group2	mean2	median2	p_value	p_adjust	fold change
Camptothecin_1003	High	0.140202795348671	0.140872109637684	low	0.0709741281033971	0.0660401038276466	1.19641908058399e-11	3.44967501568384e-11	0.506224771959015
Vinblastine_1004	High	0.0372013863365061	0.0374876886370603	low	0.0214758146822863	0.0224125038375424	3.65820260245899e-08	5.75335500204914e-08	0.577285332541811
Cisplatin_1005	High	36.8573040448188	37.0060676983619	low	14.8570348168181	16.3571625472643	3.06598630404069e-16	1.89434153785371e-15	0.403096081003422
Cytarabine_1006	High	5.40858588461379	5.44482793924304	low	3.00601149313843	3.19012172185408	5.67006154937329e-09	9.61686909844685e-09	0.55578510857891
Docetaxel_1007	High	0.0148281951795666	0.0144755679619555	low	0.00880368998774851	0.00877413972189149	2.02754303958543e-11	5.56769755314729e-11	0.593712847796882
Gefitinib_1010	High	26.5067963764132	27.2660306133684	low	17.8810926343374	18.2758971535155	2.48086301222129e-15	1.19219250309523e-14	0.67458520374981
Navitoclax_1011	High	7.34137208186217	7.60970104656675	low	4.25805864117722	4.08275578994979	2.81997338078592e-12	9.75710789751928e-12	0.58000855884928
Vorinostat_1012	High	5.00729635737788	4.98839443738995	low	4.03999923628478	3.88609181977116	1.78771524217572e-08	2.89041810183551e-08	0.806822474234453
Nilotinib_1013	High	33.0012725106627	33.2747241141738	low	27.7289496006736	28.1325551806713	0.00242170872841733	0.00258614574084073	0.840238799631572
Olaparib_1017	High	78.3189584146798	78.8786227643647	low	56.9513687406169	57.3357866956877	3.03438948684464e-08	4.81604936902865e-08	0.727172192958355
Axitinib_1021	High	24.1877940731011	23.4856403761561	low	20.3412996452144	20.4634855524241	5.24861284764959e-10	1.17923379564075e-09	0.840973740049972
AZD7762_1022	High	1.43493357016306	1.37214662086346	low	0.554415682125765	0.547583240782503	7.43592732130219e-24	1.28641542658528e-21	0.38637027779813
SB216763_1025	High	200.657306603193	197.285870645027	low	159.977670880787	171.728190003653	0.000315639685872168	0.000359247800367665	0.797268106449512
KU.55933_1030	High	93.6263235734617	91.6484210329087	low	73.7332577477977	72.9095301738681	5.62698019180792e-10	1.21683446647846e-09	0.787527000245232
Staurosporine_1034	High	0.0554798822673726	0.0531200986699954	low	0.0344479046378624	0.0342545001395277	1.10623465875644e-09	2.150321302976e-09	0.62090803422849
PLX.4720_1036	High	87.0592960105441	84.4301396874256	low	69.5645325562354	70.8177862473047	4.93590061892617e-06	6.37246870950916e-06	0.799047726595562
Doramapimod_1042	High	93.1717212335732	91.7961564755358	low	99.5854530176655	100.318634323188	0.000974339003488425	0.00108748804905482	1.06883775140328
Wee1.Inhibitor_1046	High	10.7549717177113	10.717009886616	low	5.82723994593269	6.15322773707186	2.48086301222129e-15	1.19219250309523e-14	0.541818249167162
